"","Name","lat","lon"
"1","Finestret",42.611622,2.510642
"2","El Nido, Palawan",11.1795632,119.3913134
"3","Small Lagoon, El Nido",11.1565205,119.3213525
"4","Small Lagoon, El Nido, Palawan",11.1565205,119.3213525
"5","Havasu Falls",36.2551918,-112.6978685
"6","Buchenegger Wasserfälle",0,0
"7","Small Lagoon, El Nido",11.1565205,119.3213525
"8","Mount Aspiring National Park",-44.34990745,168.714848159637
"9","Mílos, Kikladhes, Greece",0,0
"10","Annestown, Waterford, Ireland",52.15713705,-7.29173909579637
"11","Road To Hana",35.6626022,139.6550456
"12","Bali",48.8566101,2.3514992
"13","Rio Pitrisconi",0,0
"14","Fortune Island",14.0567026,120.491725958155
"15","Malta",35.8885993,14.4476911
"16","Cape Greco",46.109348,-60.2228642
"17","Palma De Mallorca, Spain",39.5695818,2.6500745
"18","Blue Green Exotica Camping Mandangadh",0,0
"19","Malta",35.8885993,14.4476911
"20","Camarasa",41.8756649,0.8778945
"21","Giant's Causeway - National Trust",0,0
"22","Hundred Islands National Park",16.19999415,120.030951850063
"23","Cliff Jumping Rishikesh",0,0
"24","Sugba Lagoon, Siargao Island",9.9063793,125.9003388
"25","Maui Hawaii",20.8029568,-156.310683316022
"26","Treble Cone Ski Area",-44.6331452,168.8964313
"27","Kawasan Falls",9.8020014,123.3739382
"28","Philippines",12.7503486,122.7312101
"29","Sunshine Coast, Queensland",-26.5443222,153.0507705
"30","Honolulu, Hawaii",21.304547,-157.8556764
"31","Salagdoong BEACH and Resort",0,0
"32","Badian Canyoneering Adventure",0,0
"33","Moab, Utah",38.5738096,-109.5462146
"34","Bantayan, Cebu, Philippines",11.164089,123.7234337
"35","Hermit Falls",35.2525138,-106.676505
"36","Panglao, Bohol",9.54829535,123.704122915874
"37","Salagdoong BEACH and Resort",0,0
"38","Sigua Falls",13.4322544,144.7267094
"39","Koh Tao Island",43.3219733,-1.9816236
"40","Summersville, West Virginia",38.2812203,-80.8525981
"41","Small Lagoon, El Nido",11.1565205,119.3213525
"42","Philippines",12.7503486,122.7312101
"43","Small Lagoon, El Nido",11.1565205,119.3213525
"44","Guam",13.444138,144.733626445767
"45","Torre De Cala Pi",39.3614991,2.83527496559926
